Question,Answer
OceanBase数据库POC测试连接具体是怎么操作的呀？,"OceanBase数据库如下
ob实例：
ip:1xx.xx.xx
端口：2883
实例名：obm_xczjj_1_poc#cs_pool_1
用户名：root
密码：xxxxxx
问题出现：根据客户提供的OceanBase数据库配置报错。配置如下
[查看排障截图: image1.png]
[查看排障截图: image2.png]
查询数据库资料如下
[查看排障截图: image3.png]
解决方案
OceanBase数据库有一个租户的概念，要以用户名@租户名进行配置，所以配置如下解决，敏感信息以隐藏
[查看排障截图: image4.png]
[查看排障截图: image5.png]"
在公司内网环境下，要怎么去测试新产品TongWeb8.0中间件的性能测试结果呀？,"第 1 章 测评概述
1.1测评环境
1.1.1软硬件环境
1.1.1.1虚拟机：
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
8个CPU
16G内存
50G硬盘
1.1.2 网络环境
网络环境:公司内网环境
测试机网卡：Realtek PCIe GbE Family Controller
1.1.3测评工具
测试的中间件产品：TongWeb8.0
测试工具软件：jmeter
1.1.4测评数据
性能测试数据通过压力测试工具jmeter自动生成，性能测试每个案例取3组测试结果
第二章TongWeb8.0性能测试案例
1.测评目标
测试TongWeb8性能测试数据。
2.测评步骤
产品部署案例应用后，借助jmeter测试工具模拟用户访问，每种虚拟用户测3组，在一定并发用户下持续访问10分钟，无失败事务。
3.测评结果：
（1）1M图片：
A、100虚拟用户：
[查看排障截图: image6.png]
[查看排障截图: image7.png]
[查看排障截图: image8.png]
B、300虚拟用户
[查看排障截图: image9.png]
[查看排障截图: image10.png]
[查看排障截图: image11.png]
(2)10M图片
A、100虚拟用户
[查看排障截图: image12.png]
[查看排障截图: image13.png]
[查看排障截图: image14.png]
B、300虚拟用户
因为带宽满了没有测试
（3）add 添加数据库数据
A、100虚拟用户：
[查看排障截图: image15.png]
[查看排障截图: image16.png]
[查看排障截图: image17.png]
B、300用户
[查看排障截图: image18.png]
[查看排障截图: image19.png]
[查看排障截图: image20.png]
C、500 用户
带宽满了，没有再测"
如何用TongWeb8配置MQ发消息？,"如图配置MQ：
[查看排障截图: image21.png]
二、部署
imqjmsra.rar
配置JCA和JCA托管对象
[查看排障截图: image22.png]
[查看排障截图: image23.png]
四、重启后，部署：mdbExample.war
五、访问：
[查看排障截图: image24.png]
[查看排障截图: image25.png]"
TongWeb部署EJB具体是怎么操作的呀？,"配置EJB w3协议：
[查看排障截图: image26.png]
或者：
也可以使用127.0.0.1 5200配置
EJB w3协议
基本属性
Ip      127.0.0.1
端口    5200
开启EJB http 协议
[查看排障截图: image27.png]
三、重启TongWeb8050,
四、部署EJB应用
五、访问EJB
http://10.10.81.161:8088/ejbExample/ejb/remoteCall?serverType=tw&remotePort=5200&protocol=ejbd&remoteIp=10.10.81.161
[查看排障截图: image28.png]
或者
[查看排障截图: image29.png]"
新产品TongWeb8（第一版）的应用场景具体是怎样的呀？,"Tongweb8.0 支持liferay portal要点
应用场景：
tongweb：8.0.4.0
liferay portal： 6.2.5 GA6社区版
jdk：jdk1.8.0_22164-Bit
hsqldb-2.6.1
操作系统：window10  64位
系统内存：8GB
本配置都在E:下进行，目录结构如下：
TongWeb8.0：应用服务器的安装目录
portal：应用程序部署目录
适配过程
把从官网下载的liferay的data目录拷贝到E:\portal下
在E:\portal下新建文件夹webapps，并把liferay的主工程ROOT和应用程序管理插件marketplace-portlet拷贝到webapps下
进入E:\portal\webapps\ROOT\WEB-INF\classes，新建文件portal-ext.properties，并录入以下内容后保存：
#通过liferay应用程序管理器上传后地址
auto.deploy.dest.dir=${liferay.home}/webapps
#是否开启jsp动态重载功能。默认情况下，此功能处于启用状态。
direct.servlet.context.reload=false
#数据库地址
jdbc.default.driverClassName=org.hsqldb.jdbcDriver
jdbc.default.password=123456
jdbc.default.url=jdbc:hsqldb:mem:mydb
进入F:\TongWeb8.0.4.0\bin，新建文件portal-setup-wizard.properties，并录入以下内容后保存：
admin.email.from.address=test@liferay.com
admin.email.from.name=Test Test
liferay.home=E:/portal
setup.wizard.enabled=false
进入F:\TongWeb8.0.4.0\bin，
Cd / F:\TongWeb8.0.4.0/domains/domain1/conf
修改tongweb.xml红色为修改的内容：
<start-args>
</start-args>之间加字符集和时区参数、其他选项
<arg desc=""TongWeb字符集"" name=""-Dfile.encoding=UTF8""/>
<arg desc=""时区"" name=""-Duser.timezone=GMT+8""/>
<arg desc=""其他选项"" name=""-Dcom.sun.media.jai.disableMediaLib=true""/>
把liferay自带tomcat下的ext下的包拷贝到F:\TongWeb8.0.4.0\domains\domain1\lib\app下
[查看排障截图: image30.png]
3、创建数据源
创建数据库liferay-tongweb（步骤2.4中配置hsqldb）
Jartoskip：
activation.jar,ccpp.jar,hsql.jar,jms.jar,jta.jar,jtds.jar,junit.jar,jutf7.jar,mail.jar,mysql.jar,persistence.jar,portal-service.jar,portlet.jar,postgresql.jar,support-tomcat.jar,jruby.jar
[查看排障截图: image31.png]
5、适配验证
进入F:\TongWeb8.0.4.0\bin，双击startserver.bat，启动应用服务器
登录应用服务器控制台
https://127.0.0.1:9060/console/
thanos/thanos123.com
点击应用管理，看看部署应用列表中是否有ROOT和marketplace-portlet，是否为已启用
登录portal系统
http://localhost
test@liferay.com/test
经过系统引导，进入如下页面：
[查看排障截图: image32.png]
查看F:\TongWeb8.0.4.0\logs\server.log或E: \portal\logs\ liferay.xxxx-xx-xx.log
liferay.2022-09-09.log两个日志文件，做进一步跟踪分析
支持Jetspeed应用要点
应用场景：
TongWeb8.0.4.0
Jet speed安装包jetspeed-installer-2.3.1.jar
C:\Users\dell>java -version
java version ""1.8.0_221""
Java(TM) SE Runtime Environment (build 1.8.0_221-b11)
Java HotSpot(TM) 64-Bit Server VM (build 25.221-b11, mixed mode)
2先把jetspeed的安装程序进行安装，安装过程中会初始化数据库。
JetSpeed2提供源码编译安装和执行程序安装两种方式。以执行程序安装方式为例进行说明。首先在Apache官网下载安装程序jetspeed-installer-2.3.1.jar即可。注意：将此jar放在非中文路径下，否则安装出问题。
图形界面安装命令： java -jar  jetspeed-installer-2.3.1.jar
字符界面安装命令： java -jar  jetspeed-installer-2.3.1.jar text
安装过程很简单，主要就是建数据库、把Tomcat和JetSpeed解压到某一目录下。查看其安装目录就是Tomcat下部署了JetSpeed
2.1无法安装的问题的解决：开发上次遇到安装问题估计是这个
E:\>java -jar  jetspeed-installer-2.3.1.jar text
Error: Unable to access jarfile jetspeed-installer-2.3.1.jar
解决方法：---用cmd的管理员运行方式安装
Cd \windows\system32> java -jar  jetspeed-installer-2.3.1.jar
2.2本次测试采用的是ORACLE数据库，本测试采用ORACLE21c版本，不能用ORACLE11G，请注意这个提示
3.装好TongWeb8.0.4.0
后把tomcat8.5.57/lib下的公用类，放在TongWeb8的/lib/app下。
F:\TongWeb8.0.4.0\TongWeb8.0.4.0\domains\domain1\lib\app
[查看排障截图: image33.png]
jartoskip:
[查看排障截图: image34.png]
参考conf\Catalina\localhost下jetspeed.xml建数据源jdbc/jetspeed
[查看排障截图: image35.png]
[查看排障截图: image36.png]
6、login.conf配置：
把webapps\jetspeed\WEB-INF\lib下jetspeed-security-2.3.0.jar中的login.conf删了，并在TongWeb的conf\login.config中加上:( TongWeb8.0.4.0\domains\domain1\conf)
Jetspeed {
org.apache.jetspeed.security.impl.DefaultLoginModule required;
};
部署webapps下的jetspeed即可。
[查看排障截图: image37.png]
[查看排障截图: image38.png]
8. 还要部署demo, j2-admin, webcontent2 这三个应用，并增加参数
跨上下文的访问
[查看排障截图: image39.png]
[查看排障截图: image40.png]
[查看排障截图: image41.png]
9. 还得把webapps\jetspeed\WEB-INF\lib下的jetspeed-security-2.3.0.jar, db-ojb-1.0.3.jar, slf4j的jar也放在TongWeb的lib下一份。要不那个JAAS配置报找不到类。
10、创建jetspeed安全域和安全用户。
11.最后启动，出现此页面，用户名/密码(jetspeed/jetspeed)登录应当成功。
[查看排障截图: image42.png]
[查看排障截图: image43.png]
三、THS6支持TongWeb8 的国密设置：
THS6 设置
#user  nobody;
worker_processes 4;
#error_log  logs/error.log;
#error_log  logs/error.log  notice;
error_log logs/error.log error;
pid logs/httpserver.pid;
events {
worker_connections 1024;
use epoll;
}
http {
include mime.types;
default_type application/octet-stream;
log_format main '$remote_addr - $remote_user [$time_local] ""$request"" '
'$status $body_bytes_sent ""$http_referer"" '
'""$http_user_agent"" ""$http_x_forwarded_for""';
access_log logs/access.log main;
sendfile on;
#tcp_nopush     on;
#keepalive_timeout  0;
keepalive_timeout 60;
#gzip  on;
server {
listen 8080;
server_name localhost;
access_log logs/host.access.log main;
# ssl_protocols GMTLSv1.1;
ssl_certificate crt/SS.pem;
ssl_certificate_key crt/SS.key.pem;
ssl_certificate crt/SE.pem;
ssl_certificate_key crt/SE.key.pem;
error_page 500 502 503 504 /50x.html;
location /examples {
proxy_pass http://10.10.81.161:8088/examples;
root html;
index index.html index.htm;
}
location = /50x.html {
root html;
}
}
#}
#        events {
#           worker_connections 1024;
#          use epoll;
#    }
# HTTPS server
server {
listen 443 ssl;
server_name localhost;
ssl_protocols  GMTLSv1.1;
ssl_certificate crt/SS.pem;
ssl_certificate_key crt/SS.key.pem;
ssl_certificate crt/SE.pem;
ssl_certificate_key crt/SE.key.pem;
#https key
ssl_certificate crt/common_cert/server.crt;
ssl_certificate_key crt/common_cert/server.key;
ssl_session_cache shared:SSL:1m;
ssl_session_timeout 5m;
ssl_ciphers HIGH:!aNULL:!MD5;
ssl_prefer_server_ciphers on;
location /examples{
proxy_pass http://10.10.81.161:8080/examples;
root html;
index index.html index.htm;
}
}
}
部署应用examples,WEB端口8088，访问：http://10.10.81.161:8088/examples
访问THS   https://10.10.81.161/examples/
[查看排障截图: image44.png]
四、TongWeb8的国密设置：
WEB容器中TongWeb 通道的配置：
通道的配置基本属性：
[查看排障截图: image45.png]
安全属性：
[查看排障截图: image46.png]
开启SSL---国密证书
[查看排障截图: image47.png]
部署应用：
用安全浏览器访问：
安全浏览器配置要点：
国密SSL设置，选中
国密SSL的可信任站点的设置，IP和端口
注意：如果安全浏览器不能访问，一般是受licesen限制，如果在限制时间内可以进行国密SSL设置，如果过期了就不能进行国密SSL设置了，所以访问不了国密应用。
举例：用安全浏览器访问应用：
[查看排障截图: image48.png]
五、实现XFF设置：
在TongWeb6和7 有这个，com.tongweb.catalina.valves.RemoteIpValve,protocolHeader=X-Forwarded-Proto,remoteIpHeader=X-Forwarded-For取XFF地址，这个在以前的一个项目上用到过
[查看排障截图: image49.png]
在TongWeb8里这样设置：
点击基础配置—安全配置：打开解析XFF头：
[查看排障截图: image50.png]
具体配置：
[查看排障截图: image51.png]
具体的XFF地址在access.log里面找。
六、THS6.0 HA+TongWeb8.0的实现：
进入THS界面配置：
http://ip:8000/console   用户名：admin  默认密码：ths#123.com
虚拟IP 10.10.81.151
httpserver.conf  配置
[root@node1 conf]# vi httpserver.conf
#user  nobody;
worker_processes 4;
#error_log  logs/error.log;
#error_log  logs/error.log  notice;
error_log logs/error.log error;
pid logs/httpserver.pid;
events {
worker_connections 1024;
use epoll;
}
http {
include tw-conf/*.conf;
include mime.types;
default_type application/octet-stream;
log_format main '$remote_addr - $remote_user [$time_local] ""$request"" '
'$status $body_bytes_sent ""$http_referer"" '
'""$http_user_agent"" ""$http_x_forwarded_for""';
access_log logs/access.log main;
status_zone;
sendfile on;
#tcp_nopush     on;
#keepalive_timeout  0;
keepalive_timeout 60;
#gzip  on;
upstream proxyserver {
server 10.10.81.161:8088;
server 10.10.81.192:8088;
keepalive 32;
keepalive_requests 1000;
keepalive_timeout 60s;
health_check interval=30000 rise=1 fall=3 type=tcp;
}
server {
listen 8090;
server_name localhost;
access_log logs/host.access.log main;
error_page 500 502 503 504 /50x.html;
location /favicon.ico {
log_not_found off;
access_log off;
}
location ~ /\. {
deny all;
access_log off;
log_not_found off;
}
location /examples {
#add_header Content-Security-Policy ""upgrade-insecure-requests"";
proxy_redirect http:// $scheme://;
proxy_redirect http:// https://;
proxy_pass http://proxyserver;
}
location /api {
access_log off;
api write=off;
status_bypass on;
allow 127.0.0.1;
deny all;
}
location = /50x.html {
root html;
}
}
# HTTPS server
#server {
#listen       443 ssl;
#server_name  localhost;
#ssl_protocols TLSv1.2 TLSv1.3 GMTLSv1.1;
#GMTLS key
#ssl_certificate      crt/SS.pem;
#ssl_certificate_key  crt/SS.key.pem;
#ssl_certificate      crt/SE.pem;
#ssl_certificate_key  crt/SE.key.pem;
#https key
#ssl_certificate      crt/common_cert/server.crt;
#ssl_certificate_key  crt/common_cert/server.key;
#ssl_session_cache    shared:SSL:1m;
#ssl_session_timeout  5m;
#ssl_ciphers  HIGH:!aNULL:!MD5;
#ssl_prefer_server_ciphers  on;
#location / {
#root   html;
#index  index.html index.htm;
#}
#}
}
[查看排障截图: image52.png]
THS-2的配置：
[查看排障截图: image53.png]
用上述配置完后可能要经过第二步修改配置文件的过程，因为有时会报如下错误：
[2022-10-17 14:41:20] bogus VRRP packet received on ens192 !!!
[2022-10-17 14:41:20] VRRP_Instance(VI_1) ignoring received advertisment...
[2022-10-17 14:41:21] (VI_1): ip address associated with VRID 53 not present in MASTER advert : 10.10.81.151
httpserverHA.conf  配置
修改配置文件httpservercHA.conf  两个THS都要改
! Configuration File for httpserverHA
global_defs {
notification_email {
dongph@agilenet.com.cn
}
notification_email_from Alexandre.Cassen@firewall.loc
!   smtp_server 127.0.0.1
smtp_connect_timeout 30
router_id host_10.18.0.92
}
vrrp_script Monitor_httpserver {
script ""/opt/TongWeb/THS/bin/monitor.sh""
interval 1
}
vrrp_instance VI_1 {
state BACKUP
interface ens192
virtual_router_id 53  改为  virtual_router_id 56
priority 91
advert_int 1
authentication {
auth_type PASS
auth_pass 1111
}
track_script {
Monitor_httpserver
}
virtual_ipaddress {
10.10.81.151
}
virtual_ipaddress_excluded {
}
smtp_alert
}
启动httpserverHA，
ip  address  会出现虚拟IP 10.10.81.151
输入虚拟IP 和访问端口前缀即可访问了：
[查看排障截图: image54.png]"
应用程序通过TongWeb8 JCA调用TLQ场景，具体是怎么实现的呀？,"客户环境说明
原was+ibmmq
在客户现场驻场开发的应用厂商在本地开发机用tomcat开发应用代码，使用spring直连方式连接ibmmq进行本地开发测试。部署到生产环境通过was连接池调用ibmmq，所以打包时需要注释掉spring直连的代码，放开was连接池代码后把应用包放到was生产环境部署。
所以应用厂商今后如果生产环境是tongweb708+tlq8.1，也要和上述工作模式一样
通过TongWeb708jca方式调用tlq8.1
1.1. TLQ配置
配置队列
截图配置文件： 本地队列lq
[查看排障截图: image55.png]
1.2. TongWeb708配置
部署tlq资源适配器
部署TLQ的资源适配器包TongJMS_ra.rar包
[查看排障截图: image56.png]
部署完后指定TLQ的JMS Broker的地址
[查看排障截图: image57.png]
创建JCA连接池
在EJB容器中创建JCA连接池：创建 JCA 连接池，创建名称分别为testc、连接定义为javax.jms.ConnectionFactory；
[查看排障截图: image58.png]
[查看排障截图: image59.png]
部署JMS应用
部署消息发送接收的应用包
在配置文件中配置tongwebjca连接池
[查看排障截图: image60.png]
[查看排障截图: image61.png]
[查看排障截图: image62.png]
发送消息+主动接收消息
发送接收消息
[查看排障截图: image63.png]
[查看排障截图: image64.png]
[查看排障截图: image65.png]
[查看排障截图: image66.png]
Tlq需开启计数器功能，可以监控收发消息计数
tlqdebug -m qcu1 1 打开计数功能
tlqstat -sum qcu1 lq 统计消息情况
[查看排障截图: image67.png]
通过spring直连方式调用tlq8.1
1.3. TLQ配置
配置队列
截图配置文件： 本地队列lq
[查看排障截图: image68.png]
1.4. TongWeb708配置
复制Jar包
将TLQ的TongJMS.jar文件拷贝到TongWeb/lib/app目录下。或者将jar放到应用程序lib目录下。
部署Spring JMS应用
修改配置文件
需要先修改一下war包中的配置文件
spring.war\WEB-INF\classes
修改spring的配置文件 application.xml
根据测试环境配置tlq的地址。
[查看排障截图: image69.png]
部署应用
[查看排障截图: image70.png]"
应用使用jpa事务部署失败应该怎么解决？,"报错日志如下： 2024-12-27 10:39:47 [ERROR] - Unable to deploy collapsed ear in war StandardEngine[server].StandardHost[localhost].StandardContext[eladmin-system-2.6] com.tongweb.tongejb.OpenEJBException: Creating application failed: version8.0.8.0/digitallogbooks/eladmin-system-2.6: Error building bean 'eladmin-system-2.6.Comp'. Exception: class com.tongweb.tongejb.OpenEJBException: PersistenceUnit 'null' not found for EXTENDED ref 'comp/env/dlogbook.modules.system.repository.impl.CustomJobMediaRepositoryImpl/entityManager': PersistenceUnit 'null' not found for EXTENDED ref 'comp/env/dlogbook.modules.system.repository.impl.CustomJobMediaRepositoryImpl/entityManager' at com.tongweb.tongejb.assembler.classic.Assembler.createApplication(Assembler.java:1238) at com.tongweb.tongejb.assembler.classic.Assembler.createApplication(Assembler.java:854) at com.tongweb.ee.server.TongWebWebAppBuilder.startInternal(TongWebWebAppBuilder.java:1291) at com.tongweb.ee.server.TongWebWebAppBuilder.configureStart(TongWebWebAppBuilder.java:1114) at com.tongweb.ee.server.GlobalListenerSupport.lifecycleEvent(GlobalListenerSupport.java:117) at com.tongweb.server.util.LifecycleBase.fireLifecycleEvent(LifecycleBase.java:114) at com.tongweb.server.core.StandardContext.access$301(StandardContext.java:79) at com.tongweb.server.core.StandardContext.lambda$fireLifecycleEvent$1(StandardContext.java:4603) at com.tongweb.server.util.Utils.runUnderClassLoader(Unknown Source) at com.tongweb.server.core.StandardContext.fireLifecycleEvent(StandardContext.java:4602) at com.tongweb.server.core.StandardContext.startInternal0(StandardContext.java:4421) tongweb版本为8.0.8.0 需要在应用部署时开启web兼容
[查看排障截图: image71.png]"
为什么在https协议下无法访问TongWeb8控制台呢？,"TongWeb版本：8081
JDK版本：jdk-8u311-linux-aarch64
应用部署方式：
单台TongWeb上部署了2个应用。
现象：
客户使用一段时间后，会突然无法访问https协议下的TongWeb控制台。应用正常访问，TongWeb进程仍然存在。有时候更换机器，可以访问控制台，有时候，更换机器也无法访问控制台。
相关报错：
2024-12-19 19:49:16 [ERROR] - Error running socket processor java.lang.NullPointerException
at org.bouncycastle.crypto.signers.PSSSigner.generateSignature(Unknown Source)
at org.bouncycastle.jcajce.provider.asymmetric.rsa.PSSSignatureSpi.engineSign(Unknown Source)
at java.security.Signature$Delegate.engineSign(Signature.java:1382)
at java.security.Signature.sign(Signature.java:698)
at sun.security.ssl.ECDHServerKeyExchange$ECDHServerKeyExchangeMessage.<init>(ECDHServerKeyExchange.java:177)
at sun.security.ssl.ECDHServerKeyExchange$ECDHServerKeyExchangeProducer.produce(ECDHServerKeyExchange.java:495)
at sun.security.ssl.ClientHello$T12ClientHelloConsumer.consume(ClientHello.java:1020)
at sun.security.ssl.ClientHello$ClientHelloConsumer.onClientHello(ClientHello.java:727)
at sun.security.ssl.ClientHello$ClientHelloConsumer.consume(ClientHello.java:693)
at sun.security.ssl.SSLHandshake.consume(SSLHandshake.java:377)
at sun.security.ssl.HandshakeContext.dispatch(HandshakeContext.java:444)
at sun.security.ssl.SSLEngineImpl$DelegatedTask$DelegatedAction.run(SSLEngineImpl.java:981)
at sun.security.ssl.SSLEngineImpl$DelegatedTask$DelegatedAction.run(SSLEngineImpl.java:968)
at java.security.AccessController.doPrivileged(Native Method)
at sun.security.ssl.SSLEngineImpl$DelegatedTask.run(SSLEngineImpl.java:915)
at com.tongweb.web.util.net.SecureNioChannel.tasks0(SecureNioChannel.java:457)
at com.tongweb.web.util.net.SecureNioChannel.tasks(SecureNioChannel.java:451)
at com.tongweb.web.util.net.SecureNioChannel.handshakeUnwrap(SecureNioChannel.java:523)
at com.tongweb.web.util.net.SecureNioChannel.handshake(SecureNioChannel.java:220)
at com.tongweb.web.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1625)
at com.tongweb.web.util.net.SocketProcessorBase.run(SocketProcessorBase.java:33)
at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
at com.tongweb.web.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:47)
at java.lang.Thread.run(Thread.java:750)
2024-12-19 19:49:16 [ERROR] - Error running socket processor java.lang.NullPointerException
at org.bouncycastle.crypto.signers.PSSSigner.generateSignature(Unknown Source)
at org.bouncycastle.jcajce.provider.asymmetric.rsa.PSSSignatureSpi.engineSign(Unknown Source)
at java.security.Signature$Delegate.engineSign(Signature.java:1382)
at java.security.Signature.sign(Signature.java:698)
at sun.security.ssl.ECDHServerKeyExchange$ECDHServerKeyExchangeMessage.<init>(ECDHServerKeyExchange.java:177)
at sun.security.ssl.ECDHServerKeyExchange$ECDHServerKeyExchangeProducer.produce(ECDHServerKeyExchange.java:495)
at sun.security.ssl.ClientHello$T12ClientHelloConsumer.consume(ClientHello.java:1020)
at sun.security.ssl.ClientHello$ClientHelloConsumer.onClientHello(ClientHello.java:727)
at sun.security.ssl.ClientHello$ClientHelloConsumer.consume(ClientHello.java:693)
at sun.security.ssl.SSLHandshake.consume(SSLHandshake.java:377)
at sun.security.ssl.HandshakeContext.dispatch(HandshakeContext.java:444)
at sun.security.ssl.SSLEngineImpl$DelegatedTask$DelegatedAction.run(SSLEngineImpl.java:981)
at sun.security.ssl.SSLEngineImpl$DelegatedTask$DelegatedAction.run(SSLEngineImpl.java:968)
at java.security.AccessController.doPrivileged(Native Method)
at sun.security.ssl.SSLEngineImpl$DelegatedTask.run(SSLEngineImpl.java:915)
at com.tongweb.web.util.net.SecureNioChannel.tasks0(SecureNioChannel.java:457)
at com.tongweb.web.util.net.SecureNioChannel.tasks(SecureNioChannel.java:451)
at com.tongweb.web.util.net.SecureNioChannel.handshakeUnwrap(SecureNioChannel.java:523)
at com.tongweb.web.util.net.SecureNioChannel.handshake(SecureNioChannel.java:220)
at com.tongweb.web.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1625)
at com.tongweb.web.util.net.SocketProcessorBase.run(SocketProcessorBase.java:33)
at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
at com.tongweb.web.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:47)
at java.lang.Thread.run(Thread.java:750)
解决方案：
bishengjdk/jre/security/java.security 配置如下：在禁用算法末尾添加 RSASSA-PSS,
jdk.tls.disabledAlgorithms=SSLv3, RC4, DES, MD5withRSA, DH keySize < 1024, \
EC keySize < 224, 3DES_EDE_CBC, anon, NULL, RSASSA-PSS
注意要有逗号分割，否则TongWeb无法启动"
springboot应用获取tw数据源具体是怎么操作的呀？,"创建数据源，查看JNDI名称
[查看排障截图: image72.png]
[查看排障截图: image73.png]
配置application.properties
[查看排障截图: image74.png]
3. 配置类 (实际和spring 配置文件类似)
<bean id=""dataSource"" class=""org.springframework.jndi.JndiObjectFactoryBean"">
[查看排障截图: image75.png]
部署应用
[查看排障截图: image76.png]"
THS搭配TongWeb8.0进行session复制配置，一步一步具体该怎么操作呀？,"一、安装THS6.0，配置THS，如下图：
[查看排障截图: image77.png]
[查看排障截图: image78.png]
二、配置会话服务器
你好！请记得一定在两台机器上都配置如下会话服务器，相当于配置缓存池
[查看排障截图: image79.png]
[查看排障截图: image80.png]
[查看排障截图: image81.png]
[查看排障截图: image82.png]
三、资源中Session缓存的配置：
你好！请记得一定在两台机器上都配置如下会话服务器，相当于配置缓存连接
[查看排障截图: image83.png]
[查看排障截图: image84.png]
四、应用部署：
你好！请记得一定在两台机器上都配置应用部署
[查看排障截图: image85.png]
[查看排障截图: image86.png]
[查看排障截图: image87.png]
[查看排障截图: image88.png]
然后点部署和更新，完成部署过程
六、测试session复制：
1、先启动负载均衡THS，
[查看排障截图: image89.png]
[查看排障截图: image90.png]
2、确保session缓存—会话服务器已启动
[查看排障截图: image91.png]
3、测试带缓存的应用
[查看排障截图: image92.png]
点击servlet example超链接
七、遇到问题的解决方法：
1、报这个可能会遇到这个问题
2022/09/27 17:08:51 [error] 8412#8412: *24 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.55.112, server: localhost, request: ""GET / HTTP/1.1"", upstream: ""http://10.10.81.161:8089/"", host: ""10.10.81.161:8080""
2022/09/27 17:08:51 [error] 8412#8412: *24 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.55.112, server: localhost, request: ""GET /favicon.ico HTTP/1.1"", upstream: ""http://10.10.81.161:8089/favicon.ico"", host: ""10.10.81.161:8080"", referrer: ""http://10.10.81.161:8080/""
解决方法如下：
vi /etc/selinux/config，改成这样
SELINUXTYPE=disabled
3、两个TongWeb时间不一致的问题
date –s  “2022-09-28 18:43:00”
2、报这个可能会遇到下面这个问题
2022/09/27 18:12:13 [notice] 10385#10385: signal process started
2022/09/27 18:14:57 [notice] 10823#10823: signal process started
2022/09/27 18:17:42 [notice] 11137#11137: signal process started
2022/09/27 18:21:50 [notice] 11762#11762: signal process started
2022/09/28 13:09:48 [notice] 16886#16886: signal process started
显示时显示一半，
[查看排障截图: image93.png]
应该显示如下：
[查看排障截图: image94.png]
解决方法：
不用8888端口，examples应用程序使用8888端口时会有问题，避免掉这个端口，使用8090端口
附录：
THS的配置：
./startConsole.sh
http://10.10.81.161:8000/console/index.do
#user  nobody;
worker_processes 4;
#error_log  logs/error.log;
#error_log  logs/error.log  notice;
error_log logs/error.log error;
pid logs/httpserver.pid;
events {
worker_connections 1024;
use epoll;
}
http {
include tw-conf/*.conf;
include mime.types;
default_type application/octet-stream;
log_format main '$remote_addr - $remote_user [$time_local] ""$request"" '
'$status $body_bytes_sent ""$http_referer"" '
'""$http_user_agent"" ""$http_x_forwarded_for""';
access_log logs/access.log main;
status_zone;
sendfile on;
#tcp_nopush     on;
#keepalive_timeout  0;
keepalive_timeout 60;
#gzip  on;
upstream proxyserver {
server 10.10.81.161:8088;
server 10.10.81.192:8088;
keepalive 32;
keepalive_requests 1000;
keepalive_timeout 60s;
health_check interval=30000 rise=1 fall=3 type=tcp;
}
server {
listen 8090;
server_name localhost;
access_log logs/host.access.log main;
error_page 500 502 503 504 /50x.html;
location /favicon.ico {
log_not_found off;
access_log off;
}
location ~ /\. {
deny all;
access_log off;
log_not_found off;
}
location /examples {
#add_header Content-Security-Policy ""upgrade-insecure-requests"";
proxy_redirect http:// $scheme://;
proxy_redirect http:// https://;
proxy_pass http://proxyserver;
}
location /api {
access_log off;
api write=off;
status_bypass on;
allow 127.0.0.1;
deny all;
}
location = /50x.html {
root html;
}
}
# HTTPS server
#server {
#listen       443 ssl;
#server_name  localhost;
#ssl_protocols TLSv1.2 TLSv1.3 GMTLSv1.1;
#GMTLS key
#ssl_certificate      crt/SS.pem;
#ssl_certificate_key  crt/SS.key.pem;
#ssl_certificate      crt/SE.pem;
#ssl_certificate_key  crt/SE.key.pem;
#https key
#ssl_certificate      crt/common_cert/server.crt;
#ssl_certificate_key  crt/common_cert/server.key;
#ssl_session_cache    shared:SSL:1m;
#ssl_session_timeout  5m;
#ssl_ciphers  HIGH:!aNULL:!MD5;
#ssl_prefer_server_ciphers  on;
#location / {
#root   html;
#index  index.html index.htm;
#}
#}
}
[查看排障截图: image95.png]
[查看排障截图: image96.png]
[查看排障截图: image97.png]
[查看排障截图: image98.png]
[查看排障截图: image99.png]
[查看排障截图: image100.png]
[查看排障截图: image101.png]
[查看排障截图: image102.png]"
