question,answer,keywords
TongWeb 控制台初始默认用户名密码是什么,TongWeb 控制台初始默认的用户名是 thanos，初始默认密码是thanos123.com,初始密码
TongWeb 支持哪些平台运行？在各个平台如何启动运行？,TongWeb 基于Java 语言开发， Windows、Linux、MacOS等平台均支持运行，只需要所运行的平台安装相应平台的 JDK 或 JRE 环境即可。其中TongWeb8 JDK 最低版本要求不低于JDK8。在启动运行 TongWeb8 之前，请确保已经正确安装和配置好JDK或JRE环境。TongWeb8 分为多个版本，部分版本包含控制台，部分版本为更简化轻量的版本。包含控制台的版本在启动时，默认会使用 9060 和 8088 两个端口，不包含控制台的版本默认仅使用 8088 端口。在启动运行 TongWeb8 之前，也需要确认相关端口不被占用。 Windows 平台： 进入到 “${tongweb.home}/bin/windows” 目录，然后运行 startserver.bat 或 startd.bat 脚本文件，即可启动 TongWeb 应用服务器默认实例。 Linux 和 MacOS 平台： 进入到 “${tongweb.home}/bin” 目录，然后运行 startserver.sh 或 startd.sh 脚本文件，即可启动 TongWeb 应用服务器默认实例。 说明： ${tongweb.home} 代表 TongWeb 的根目录。其中 startserver 启动脚本和 startd 启动脚本的区别是，startserver 脚本启动运行后，命令行窗口可以看到实时的日志输出信息，当关闭命令行窗口时，Tongweb 应用服务器会停止运行；startd 脚本则是以后台运行的方式启动，命令行窗口不会显示实时日志信息，当关闭命令行窗口时，Tongweb 应用服务器不会停止运行。,支持平台
TongWeb8 Prometheus 监控，支持...,"TongWeb8 Prometheus 监控，支持组合监视（用以限定监视系统的指标范围，请参考组合监视）或注册实例（注册实例为 Prometheus 提供监视数据，并推送注册实例信息，请参考注册实例）。开启 Prometheus 监控，数据上报方式支持 “拉取” 和 “推送”两种，若选择“推送”方式，则需要提前搭建好 PushGateway 服务。具体控制台页面操作：。 1.选择 “监视管理” > “Prometheus 服务”，进入 Prometheus 服务页面。 2. 打开 “启用” 开关，启用服务。 3. 选择创建的组合监视，或者打开 “监视注册实例” 开关。 4. 选择并配置数据上报方式。 拉取方式需要填写监听地址和监听端口，metrics 地址以及认证类型。其中监听地址为 TongWeb 本机的 IP 地址。监听端口为将要开启监听服务的端口号，用于 Prometheus 访问获取监控数据，请确保该端口号未被占用。metrics 地址为监听服务的 metrics 路径，供 Prometheus 访问，可根据需要设定，支持以逗号分隔设置多个。认证类型是可选项，采用基础认证验证用户名密码确保监控数据被安全访问。 推送方式需要填写 PushGateway 地址及推送数据的时间间隔(以秒为单位)。 以下简单说明一下 Prometheus 需要的主要配置(主要修改 Prometheus 的配置文件 “prometheus.yml”)：。 1.若选择为 “拉取” 方式，则在配置文件最后，添加如下配置。 - job_name: ""tongweb"" static_configs:。 - targets: [""127.0.0.1:30188""] 其中 job_name 可以根据需要命名，最好有意义且易识别。targets 中的 IP 和端口对应 TongWeb 控制台启用 Prometheus 时，配置的 IP 和端口号。若在 TongWeb 控制台配置启用 Prometheus 监控时选择了 “基础认证”，则需要在 Prometheus 的配置文件 “prometheus.yml” 中，添加如下配置信息： basic_auth: username: admin password: admin 完整配置信息如下： #拉取方式。 - job_name: ""tongweb"" static_configs:。 - targets: [""127.0.0.1:30188""] basic_auth: username: admin password: admin。 2.若选择为 “推送” 方式，则在配置文件最后，添加如下配置： #推送方式。 - job_name: ""monitor_pushGateway"" static_configs:。 - targets: [""127.0.0.1:9091""] targets 中的 IP 和端口对应 TongWeb 控制台中配置的 pushgateway 的 IP 和端口号。 Prometheus 启动后，访问 Prometheus 控制台 ""http://localhost:9090/targets/?search="" 查看 TongWeb 的监视信息","监控, Prometheus"
监视管理包含操作系统负荷、TongWeb 负荷、应...,监视管理包含操作系统负荷、TongWeb 负荷、应用数据源、操作系统、JVM、组合监视、守护监视、SNMP服务、Prometheus 服务、OTLP 支持监视等。,
监视概览用于检测展示系统整体的健康状况，主要用于观...,监视概览用于检测展示系统整体的健康状况，主要用于观测系统的性能瓶颈，同时也可以查看到 TongWeb负荷。 当使用网页端接入时，若某系统资源的性能负荷达到80%，其对应的网页上的指示器将会变为红色以给出警示。 进入TongWeb监视概览页面具体操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“监视管理”>“概览”，进入概览页面。可以查看操作系统的系统负载、内存、硬盘等。同时也可以查看到 TongWeb负荷，包括使用堆内存、通道活跃线程数等。,
支持监视应用自行创建和管理的数据源的使用情况，包含...,支持监视应用自行创建和管理的数据源的使用情况，包含 JDBC 连接池大小、活跃连接数、空闲连接数、线程等待数等。在应用数据源列表页面，可以查看应用数据源的名称、类型以及所属应用。 应用数据源支持的 JDBC 连接池类型包括 HikariCP、Druid、DBCP、C3P0、BeeCP、BoneCP、Tomcat Pool、Hulk等(注意 :DBCP、C3P0、BoneCP 目前暂不支持监控“线程等待数”，即该监控值始终为“-1”)。 说明：使用该功能前，需要先进入“基础配置”>“全局配置”>“应用”页面，开启“监视应用数据源”。在应用数据源初始化完成后，即可监控到应用数据源使用情况。 查看监视数据源具体操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“监视管理”>“应用数据源”，进入应用数据源页面。 4. 单击应用数据源所在行的“监视”，进入监视数据源页面。视图左上方的名称 表示应用数据源的名称。 5. 可以查看应用数据源的连接池大小、活跃连接数、空闲连接数以及线程等待数。 下载监视视图具体操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“监视管理”>“应用数据源”，进入应用数据源页面。 4. 单击应用数据源所在行的“监视”，进入监视数据源页面。 5. 在监视视图所在区域，单击鼠标右键，将监视视图另存为“.png”图片即可。,
操作系统监视主要展示操作系统的基本信息，可以查看操...,操作系统监视主要展示操作系统的基本信息，可以查看操作系统的系统负载、空闲内存（GB）、空闲交换空间（GB）、当前虚拟内存（GB）、硬盘剩余（GB）等，在图表下方还可以查看操作系统的名称、版本、架构、CPU 个数、总内存（GB）、总交换空间（GB）以及硬盘总量（GB）等。 具体操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“监视管理”>“操作系统”，进入操作系统页面。,
JVM监视用于展示Java虚拟机（JVM）的版本、...,JVM监视用于展示Java虚拟机（JVM）的版本、厂商等基本信息以及Java进程的堆内存、非堆内存等使用情况，同时可以手动执行回收 JVM 垃圾进行JVM垃圾回收。 具体操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“监视管理”>“JVM”，进入JVM页面。 4.在页面中可以查看Java虚拟机的线程总数、死锁线程数、使用堆内存以及使用中非堆内存等情况。还可在监视视图页面，单击鼠标右键，可将监视视图另存为“.png”图片。 5.还可以在页面下方查看Java虚拟机规范名称、版本、JVM软件名称、JVM软件供应商、JVM软件版本号、进程信息、启 动时间、引导类路径、系统类路径、本地库路径、启动参数以及最大堆内存。 6.在页面最下方还可单击 “垃圾回收”按钮，回收 JVM 垃圾，回收后可查看 JVM 的折线有所变化，可以方便用户排查内存相关 问题。,
组合监视可以是一个，也可以是多个，通过配置不同的监...,"组合监视可以是一个，也可以是多个，通过配置不同的监视信息,定制您想要关注的监视信息。可以针对您关注的监视信息,创建多个组合监视,以保证监视明细展示更清晰。 具体操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中,选择“监视管理”>“组合监视”,进入组合监视列表页面。 4. 单击“创建”,进入创建组合监视页面。 5.填写组合监视的名称，并勾选要监视的信息。（注意，组合监视名称的命名需要遵循一定的规则：不能包含中文以及特殊字符(:*?<>|@#)且不能单独为非法文件名字符,大小写均会被约束，不可以是这些字符（允许与其他字符组合）：CON,PRN,AUX,CLOCK$,NUL,COM1,COM2,COM3,COM4,COM5,COM6,COM7,COM8,COM9,L PT1）。监视信息根据需要进行勾选。可以监视应用、通道(admin)、通道(server)、JVM、操作系统、服务器日志、EJB w3 协议等信息。 查看组合监视折线图和非折线图的操作步骤：。 1. 登录 TongWeb 管理控制台。 199东方通应用服务器软件 TongWeb V8.0 控制台使用手册。 2. 切换到目标实例。 3. 在左侧导航栏中,选择 “监视管理” > “组合监视”,进入组合监视列表页面。 4. 单击组合监视所在行的 “监视”,即可查看组合监视的折线图和非折线图。",
"守护监视是对创建的组合监视中的系统指标,在指定时间...","守护监视是对创建的组合监视中的系统指标,在指定时间内进行周期性监视,监视结果持久存储在生成的“.txt”文件中。也可以根据需要在控制台下载监视文件,或者进入 “${tongweb.base}\data\health\monitor” 目录下获取守护监视文件。创建守护监视后,当到达守护监视的开始时间,系统会在 “${tongweb.base}\data\health\monitor” 目录下生成一个以守护监视名称命名的 “.txt” 文件。所有的监视信息会追加到该“.txt”文件中,直到守护监视的结束时间。可以根据需要基于同一个组合监视创建多个守护监视。 创建守护监视操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 201东方通应用服务器软件 TongWeb V8.0 控制台使用手册。 3. 在左侧导航栏中,选择“监视管理”>“守护监视”,进入守护监视列表页面。 4. 单击“创建”,进入守护监视页面。 5. 配置守护监视的名称、组合监视、开始时间、结束时间、监视频率以及是否启用等。 6. 配置完成后,单击“添加”,完成守护监视创建操作。 查看守护监视的历史监视信息操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中,选择“监视管理”>“守护监视”,进入守护监视列表页面。 4. 单击守护监视所在行的“监视”,即可进入守护监视查看历史监视信息页面。 相关参数说明如下：。 ◦ 自定义:可查看“自定义”前设置的开始时间与结束时间,时间段内的监视信息。 ◦ 过去2小时:可查看当前时间过去的2小时内的监视信息。 ◦ 过去30分钟:可查看当前时间过去的30分钟内的监视信息。 ◦ 实时:可查看当前时间,实时监视信息。 下载监视文件的操作步骤： 守护监视创建完成后,当到达守护监视开始时间,即可生成守护监视“.txt”文件。可以根据在控制台界面下载守护监视文件,或者进入 “${tongweb.base}\data\health\monitor” 目录获取守护监视文件。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中,选择“监视管理”>“守护监视”,进入守护监视列表页面。 4. 单击“下载”,弹出下载监视文件窗口。 5. 勾选生成的守护监视文件。 6. 单击“确定”,即可下载守护监视文件。 管理守护监视之查看守护监视操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中,选择“监视管理”>“守护监视”,进入守护监视列表页面。 4. 可查看已创建的守护监视,包含守护监视名称、组合监视、开始时间、结束时间、监视频率、是否启用、运行中等。 管理守护监视之编辑守护监视操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中,选择“监视管理”>“守护监视”,进入守护监视列表页面。 4. 单击已创建守护监视的名称,进入守护监视详细信息页面。 5. 可根据需要修改守护监视的相关信息。（说明:守护监视的名称不可编辑;结束时间不能早于当前时间。）。 6. 单击“更新”,即可完成守护监视的编辑操作。 管理守护监视之删除守护监视：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中,选择“监视管理”>“守护监视”,进入守护监视列表页面。 4. 单击已创建守护监视所在行的“删除”,弹出确认删除窗口。（用户可根据需要勾选一个或多个守护监视,并单击列表上方的 “删除” 按钮,批量删除守护监视。）。 5. 单击“确定”,即可完成守护监视的删除操作。 特别注意：删除守护监视后,“${tongweb.base}\data\health\monitor” 目录下的守护监视“.txt”文件会同步删除。删除后不可恢复,请谨慎操作。",
SNMP 是广泛应用于TCP/IP网络的网络管理标...,"SNMP 是广泛应用于TCP/IP网络的网络管理标准协议,该协议能够支持网络管理系统,用以监测连接到网络上的设备是否有任何引起管理上关注的情况。TongWeb支持SNMP服务。开启SNMP服务后,可以通过SNMP工具查看TongWeb的服务器状态信息。通过 SNMP 管理端获取可以 TongWeb 的监控数据。支持 GET、GETBULK 调用,以 json 格式返回数据。 1.OID 与监控数据对应关系：。 • 1.3.6.1.4.1.55566.1.0:操作系统信息;。 • 1.3.6.1.4.1.55566.1.1:Java虚拟机信息;。 • 1.3.6.1.4.1.55566.。 • 1.2:Java类加载信息;。 • 1.3.6.1.4.1.55566.1.3:Java编译信息;。 • 1.3.6.1.4.1.55566.1.4:Java线程信息;。 • 1.3.6.1.4.1.55566.1.5:连接池信息;。 • 1.3.6.1.4.1.55566.1.6:线程池信息;。 • 1.3.6.1.4.1.55566.1.7:应用线程信息(线程个数、的状态);。 • 1.3.6.1.4.1.55566.1.8:服务信息(包含授权信息)。 2.TongWeb 启用SNMP服务的操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中,选择“监视管理”>“SNMP服务”,进入SNMP服务页面。 4. 在基本属性页签下,单击“开启”按钮,开启SNMP服务。 5. 配置基本属性参数。（基本属性参数说明： 监听地址：SNMP 服务监听的 IP 地址,默认为“127.0.0.1”,即监听 TongWeb 所在的本机 IP。若配置为“0.0.0.0”,则表示不限制,监听本机所有IP。 监听端口：SNMP监听的端口号,默认为“161”。 引擎ID：设置当前 SNMP 服务的唯一标识。配置为您本地设备的引擎 ID。引擎 ID 是十六进制数字串,并且长度为14~32个十六进制数。设备信息可以是 IP 地址、mac 地址或自己定义的十六进制数字串。）。 6. 配置监听的客户端的身份认证信息。（属性参数说明： 认证名：客户端的认证名,用以识别客户端的身份(用于 SNMP 客户端连接 SNMP 服务的认证用户名,用户自定义)。 认证密码：客户端的认证密码,用以验证客户端的安全性(用于SNMP客户端连接SNMP服务的认证密码,用户自定义)。 认证算法：设置验证密码采用的摘要算法。支持的算法为“MD5”和“SHA-1”。 ）。 7.配置数据安全信息。（属性参数说明： 传输协议：SNMP 代理服务器与网络管理系统之间所使用的传输协议。支持“UDP”和“TCP”。 加密算法：设置数据加密采用的算法。支持“AES128”和“DES”。 加密密码：设置数据加密的密码。 ）。 8. 单击“更新”,即完成SNMP服务的启动操作。",
1. 下载 Snmpwalk。下载地址:https...,"1. 下载 Snmpwalk。下载地址:https://ezfive.com/snmpsoft-tools/。 2. 使用 Snmpwalk 查看 TongWeb 服务器信息: 当前 SNMP 服务支持的版本为 V2 和 V3,不支持 V1。 示例说明:查看 OID 为 “1.3.6.1.4.1.55566.1.4” 的 Java 线程信息。 OID 值请进入管理控制台>“集中管理”>“扩展支持”>“支持列表”。单击 “SNMP”,进入 SNMP 使用说明页面,获取 OID 值。 SnmpWalk.exe -r:127.0.0.1 -p:161 -v:3 -sn:tongweb -aw:TongWeb@12.com -ap:SHA -pp:DES -pw:TongWeb@12.com1 -ei:62a0c18111c31733 -os:1.3.6.1.4.1.55566.1.4 参数说明：。 -r： SNMP 服务器监控的 IP 的地址，默认为“127.0.0.1”，即监听 TongWeb 所在的本机 IP。 -p： SNMP 监听的端口号，默认为“161”。 -v： SNMP 服务支持的版本，当前支持 V2 和 V3。如 V3 版本配置为 “-v:3”。 -sn： 客户端的认证名，用以识别客户端的身份（开启 SNMP 服务时，配置的认证名，用于连接 SNMP 服务端）。 -aw： 客户端的认证密码，用以验证客户端的安全性（开启 SNMP 服务时，配置的认证密码，用于连接 SNMP 服务端）。 -ap： 验证密码采用的摘要算法。 -pp： 数据加密采用的算法。 -pw： 加密数据的密码。 -ei： 引擎 ID。 -os： OID 值。",
OTLP 是一个用于传输跟踪和度量数据的开放标准协...,OTLP 是一个用于传输跟踪和度量数据的开放标准协议，TongWeb 开启支持 OTLP，可将其自身监视数据以约定的格式输出。 在开启 OLTP 监控之前，需要创建相应的“组合监视”，并参考 “集中管理” > “扩展支持” > “支持列表” 里 “OTLP” 的使用说明，下载必需的 jar 包( opentelemetry-api-1.42.1.jar，opentelemetry-context-1.42.1.jar， opentelemetry-exporter-common-1.42.1.jar，opentelemetry-exporter-otlp-1.42.1.jar， opentelemetry-exporter-otlp-common-1.42.1.jar，opentelemetry-exporter-sender-okhttp-1.42.1.jar， opentelemetry-sdk-1.42.1.jar，opentelemetry-sdk-common-1.42.1.jar， opentelemetry-sdk-metrics-1.42.1.jar，opentelemetry-sdk-extension-autoconfigure-spi-1.42.1.jar， opentelemetry-sdk-trace-1.42.1.jar，opentelemetry-api-incubator-1.42.1-alpha.jar， opentelemetry-sdk-logs-1.42.1.jar，okhttp-4.12.0.jar， kotlin-stdlib-1.8.21.jar，okio-3.6.0.jar，okio-jvm-3.6.0.jar )。 开启OLTP监视的操作步骤：。 1. 下载 1.42.1 版本需要的 jar 清单。 2. 将下载的 jar 包存放到 “${tongweb.home}/lib” 或 “${tongweb.base}/lib” 目录。 3. 启动 TongWeb，并访问控制台。 4. 在左侧菜单栏中，选择 “监视管理” > “OTLP 支持”，进入 OTLP 支持页面，打开 “启用” 开关，并配置 OTLP 相关属性参数( 组合监视: 在下拉列表中，选择已创建的组合监视。若下拉列表中没有创建的组合监视，详见创建组合监视。 接收数据的地址: 将数据推送到支持的 OTLP 的地址，默认为“http://localhost:4317”。 推送间隔: 设置每隔多少秒推送一次数据，单位：秒。 )。 5. 访问配置的 “接收数据的地址”（如 “http://localhost:4317”），即可查看 TongWeb 监视数据。,
打快照操作步骤：。 1. 登录TongWeb管理控制...,打快照操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“诊断管理”>“快照文件”，进入快照文件页面。 4. 单击“打快照”，进入打快照页面。 5. 在采集模板下拉列表中，选择已创建的采集模板。 6. 配置完成后，单击“打快照”，即完成采集模板的应用操作。,
快照文件记录了某一时刻 TongWeb 服务器的整...,快照文件记录了某一时刻 TongWeb 服务器的整体信息，记录的内容可包括监视信息、配置信息、TongWeb 域目录下相应的日志文件，并生成指定分析工具的文件等。当系统出现故障或者性能瓶颈，没来得及获取需要的信息时，可根据快照记录的全面内容分析故障、性能瓶颈的原因。可以根据需要手动创建快照文件，或者通过创建预警策略基于快照模块自动创建快照文件。,
basicinfo.xml 文件：基本信息。 mo...,basicinfo.xml 文件：基本信息。 monitor.xml 文件：监视信息。 conf 文件夹或 bin 文件夹：配置信息，可下载 “${tongweb.base}/conf” 目录下的 xml 类型的文件。若存在 “${tongweb.home}/bin/JAVA_HOME.txt”，则会同时生成JAVA_HOME.txt，并存放在 “bin” 文件夹。 logs 文件夹：日志。根据采集模板生成的快照日志文件，包含 server.log、access.log、gc.log（access.log、gc.log：需要开启访问日志和 GC 日志才会生成；hs_err_pid.log：需要将 hs_err 日志文件路径配置到 TongWeb 域目录下才可记录。）。 jstack jstack.txt 文件：分析工具。 jamp heap.hprof 文件：分析工具。 coredump coredump 文件：分析工具。 top top.txt 文件：分析工具。 lsof lsof.txt 文件：分析工具。 netstat.txt 文件：分析工具 netstat,
打快照支持手动打快照和自动打快照，且在打快照之前，...,打快照支持手动打快照和自动打快照，且在打快照之前，已创建采集模板。 手动打快照步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“诊断管理”>“快照文件”，进入快照文件列表页面。 4. 单击“打快照”，进入打快照页面。 5. 配置快照文件的采集模板，参数说明请参见快照文件参数配置说明。 采集模板：选择已创建的采集模板。若您没有创建采集模板，请先创建采集模板。 6. 配置完成后，单击“打快照”，完成打快照操作。 若界面弹出“快照文件打快照成功”提示信息，则说明打快照成功。 自动打快照步骤：。 1. 登录TongWeb管理控制台。 2. 左侧导航栏中，选择“诊断管理”>“预警策略”，进入预警策略列表页面。 3. 单击“创建”，进入创建预警策略页面。 4. 在 ”生成快照“ 下拉列表中，选择已创建的采集模板。 其它参数请根据需要进行配置。 5. 配置完成后，单击“添加”，完成预警策略的创建。 若界面弹出“预警策略添加成功”提示信息，则说明预警策略添加成功。 6. 若系统触发已创建的预警策略，您可以在左侧导航栏中，单击“快照文件”，进入快照文件列表页面，查看自动打的快照。,
下载快照文件步骤（确保已经打快照）：。 1. 登录T...,下载快照文件步骤（确保已经打快照）：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“诊断管理”>“快照文件”，进入快照文件列表页面。 4. 单击目标快照文件所在行的“下载”，弹出下载快照文件窗口。 5. 勾选待下载的快照文件。 6. 单击“确定”，即可下载以快照时间命名的快照文件压缩包。,
查看快照文件 生成的快照文件按照生成快照的时间倒序...,查看快照文件 生成的快照文件按照生成快照的时间倒序展示，包含快照时间、是预警快照、预警策略名等信息。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“诊断管理”>“快照文件”，进入快照文件列表页面。 4. 在快照文件列表页面，您可以查看已打的快照。 删除快照文件 删除快照文件时，快照文件引用的其它组件不会被删除。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“诊断管理”>“快照文件”，进入快照文件列表页面。 4. 单击目标快照文件所在行的“删除”，弹出确认删除窗口。 5. 单击“确定”，完成快照文件的删除操作。 若界面弹出“快照文件删除成功”提示信息，则说明删除快照文件成功。,
预警策略是通过配置CPU、内存、通道活跃链接、数据...,预警策略是通过配置CPU、内存、通道活跃链接、数据源活跃连接的阈值和GC时间的阈值，决定预警策略是否生效，以及生效后的处理办法，包括发送邮件、发送消息到队列、自动生成快照。预警策略可以启动也可以设置多个，一个预警策略只有所有阈值都被超过才触发处理办法。,
创建预警策略需要已创建好采集模板，同时至少满足这些...,创建预警策略需要已创建好采集模板，同时至少满足这些预警条件之一：CPU 阈值大于0、内存阈值大于0、通道阈值大于0且至少选一个通道、数据源阈值大于0且至少选一个数据源或GC时间大于0。 具体操作步骤。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“诊断管理”>“预警策略”，进入预警策略列表页面。 4. 单击“创建”，进入创建预警策略页面。 5. 配置预警策略的名称等信息。 若需要配置“处理办法”，请注意以下信息（其他参数：请根据需要配置，参数说明请参见预警策略参数配置说明）： 生成快照（若需要生成快照，下拉列表中没有采集模板，请先创建采集模板）。 发送 JMS 消息（若开启 JMS 通知，需要配置连接池和托管对象。请先创建连接池&托管对象。a. 进入“EJB 容器”>“JCA连接池”，创建jca连接池。b. 进入“EJB 容器”>“JCA托管对象”，创建jca托管对象。）。 6. 配置完成后，单击“添加”，完成预警策略的添加操作。若界面弹出“预警策略添加成功”提示信息，则说明添加预警策略成功。,
用户可查看、编辑或者删除已创创建的预警策略。 查看...,用户可查看、编辑或者删除已创创建的预警策略。 查看预警策略操作步骤：。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“诊断管理”>“预警策略”，进入预警策略列表页面。 4. 在预警策略列表页面，您可以查看已创建的预警策略。包含预警策略的名称、描述、是否启用等信息。 编辑预警策略操作步骤：。 1. 登录 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“诊断管理”>“预警策略”，进入预警策略列表页面。 4. 单击目标预警策略名称，进入编辑预警策略页面。 5. 您可以根据提示修改预警策略信息（预警策略名称不可编辑）。 6. 编辑完成后，单击“更新”，更新预警策略配置信息。若界面弹出“预警策略更新成功”提示信息，则说明编辑预警策略成功。 删除预警策略操作步骤： 删除预警策略时，预警策略引用的其它组件不会被删除。 1. 登录TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“诊断管理”>“预警策略”，进入预警策略列表页面。 4. 单击目标预警策略所在行的“删除”，弹出确认删除窗口。用户可根据需要勾选一个或多个预警策略，并单击列表上方的 “删除” 按钮，批量删除预警策略。 5. 单击“确定”，完成预警策略的删除操作。若界面弹出“预警策略删除成功”提示信息，则说明删除预警策略成功。,
