参数,名称,参数说明,,,,,,
logPattern,系统日志的日志格式,日志内容的记录格式，包括时间戳、线程名、日志级别等。,,,,,,
enableConsoleLogging,系统日志的启用控制台日志,启用后，系统将在控制台输出日志信息,,,,,,
takeoverJUL,系统日志的接管 Java Logger,将使用 java.utillogging.Logger 打印的应用日志转入到TongWeb 日志模块统一处理，如存入 TongWeb 的server.log 日志文件等。不开启，则会丢弃这些应用日志。注：若应用已有 Java Logger 配置且需要使用自己的，则需修改 tongweb.xml，删除-Djava.utillogging/logmanager 参数。,,,,,,
takeoverSystemPrint,系统日志的接管系统打印,将系统打印（System.out、System.err）的日志转入到日志模块统一处理。注：若不开启，则会丢弃这些日志。,,,,,,
printToConsoleOnly,系统日志的应用日志仅输出到控制台,"启用后,应用代码通过系统打印 (System.out、System.err)和JUL (java.utilloggingloggers)输出的日志将仅在控制台输出,而不再存入系统日志文件(即默认的server.log文件)。",,,,,,
enableAsynchronous Logging,系统日志的开启异步日志,"日志记录可以在单独的线程中执行,好处是应用程序本身不会被缓慢的IO操作阻塞,写入线程以低优先级运行并与应用程序一起自动关闭。",,,,,,
bufferQueueSize,系统日志的缓冲队列大小,"日志缓冲队列大小,单位为条数。缓冲队列所能容纳的日志字节大小的最大值为缓冲队列大小乘以每条日志的字节大小,可据此估计日志子系统所需要的内存峰值。",,,,,,
checkInterval,系统日志的轮询间隔,"开启异步日志后,TongWeb会周期性检测是否有需要输出的日志,此处可设置检测的频率,即每隔多久检测一次,单位:毫秒。",,,,,,
baseFile,系统日志的文件目录,将日志文件存放到指定的目录下。,,,,,,
loggerFileName,系统日志的文件名称,指定日志文件的名称，日志文件将以此名称开头存储在指定目录下。,,,,,,
appendTypeDir,系统日志的追加类型目录,启用后，将在指定的文件目录下增加一个server目录以存放日志文件。,,,,,,
rollingFile,系统日志的日志文件轮转,将日志信息按文件大小或时间进行轮转，确保日志文件不会过大。,,,,,,
append,系统日志的日志追加,启用日志追加模式，日志信息将追加到现有日志文件中而不是覆盖。,,,,,,
rotationDay,系统日志的按天轮转,将每日未达到大小阈值的日志在零点切割到一个新文件中。,,,,,,
rotationBySize,系统日志的按大小轮转,当日志文件大小（单位：MB）达到该阈值时，将切割出一个新的日志文件。注：设置为0表示不启用此功能。,,,,,,
keepMaxFiles,系统日志的保留文件个数,指定在清理日志文件时，需保留文件的个数。,,,,,,
compression,系统日志的日志文件压缩,是否开启日志文件压缩功能。开启后，对轮转后的日志文件进行压缩。,,,,,,
chunk,系统日志的文件编码,指定日志文件的编码格式。,,,,,,
